OperationName,ProcessID,ResourceID,Resource,Start,Completion,DemandID,Product,NrItems
M5-03 - UMC1 - 5axis - Manual (UMC750),30,-,-,2026-02-06 13:43:40,2026-02-06 13:43:40,__export__.mrp_production_5037_60eed60d,[4022.656.37971],5
MP2 - Mat. prep - manual sawing (ZGN_02),32,-,-,2026-02-06 14:30:25,2026-02-06 14:30:25,__export__.mrp_production_5325_9ceb90b0,[4023-002-36551],25
M4-01 - AW - 4axis - Conveyor Automation (FR4_01),33,-,-,2026-02-06 14:30:36,2026-03-23 10:49:37,__export__.mrp_production_5325_9ceb90b0,[4023-002-36551],25
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",38,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_5680_ed5f1e28,[4022.622.61481],24
MP1 - Mat. prep - automatic sawing (ZGN_01),40,-,-,2026-03-23 09:45:11,2026-03-23 09:46:04,__export__.mrp_production_5822_d253f190,[4512-127-05186B],979
M5-01 - AW - 5axis - Conveyor Automation (FR5_01),43,-,-,2026-05-06 13:02:49,2026-05-06 13:02:50,__export__.mrp_production_5822_d253f190,[4512-127-05186B],979
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",44,-,-,2026-03-23 09:52:13,2026-03-23 09:52:18,__export__.mrp_production_5851_eb3587d0,[B620261-5],2
M3-01 - AW - 3axis - Manual (FR3_01),46,-,-,2026-06-09 13:05:33,2026-06-09 13:05:35,__export__.mrp_production_5851_eb3587d0,[B620261-5],2
M3-02 - AW - 3axis - Manual (FR3_02),47,-,-,2026-06-09 13:05:36,2026-06-09 13:05:38,__export__.mrp_production_5851_eb3587d0,[B620261-5],2
BW - Benchwork (BKW_01),48,-,-,2026-06-09 13:05:40,2026-06-09 13:05:41,__export__.mrp_production_5851_eb3587d0,[B620261-5],2
M3-02 - AW - 3axis - Manual (FR3_02),50,-,-,2026-03-23 10:50:40,2026-03-23 10:50:42,__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1],80
MP1 - Mat. prep - automatic sawing (ZGN_01),51,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1],80
M4-02 - AW - 4axis - Conveyor Automation (FR4_02),52,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1],80
MP1 - Mat. prep - automatic sawing (ZGN_01),56,-,-,2026-04-17 13:00:16,2026-04-17 13:00:16,__export__.mrp_production_6126_02e4cab5,[4022-333-11506],86
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",62,-,-,2026-06-10 15:44:57,2026-06-10 15:44:58,__export__.mrp_production_6127_8d0cae6b,[00385-00-113A],700
MP1 - Mat. prep - automatic sawing (ZGN_01),66,-,-,2026-06-10 15:45:11,2026-06-10 15:45:13,__export__.mrp_production_6128_adce9df4,[00385-00-329-A],319
OUT - Outsourced activity,71,-,-,2026-04-07 10:54:07,2026-04-28 13:03:52,__export__.mrp_production_6135_7a4fa595,[4598-008-08901B POS 1],389
MP1 - Mat. prep - automatic sawing (ZGN_01),72,-,-,2026-04-13 09:28:03,2026-04-13 09:28:05,__export__.mrp_production_6135_7a4fa595,[4598-008-08901B POS 1],389
MP1 - Mat. prep - automatic sawing (ZGN_01),77,-,-,2026-04-10 11:45:20,2026-04-10 11:45:21,__export__.mrp_production_6143_61892801,[4022-333-13805],120
MP1 - Mat. prep - automatic sawing (ZGN_01),83,-,-,2026-04-15 10:26:15,2026-04-15 10:26:15,__export__.mrp_production_6144_c071ebc2,[M0216-01-091-A],1500
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",88,-,-,2026-05-12 13:49:04,2026-05-12 13:49:07,__export__.mrp_production_6160_45a88c11,[4022.704.19282],60
OUT - Outsourced activity,93,-,-,2026-05-12 13:49:09,2026-06-02 15:51:35,__export__.mrp_production_6160_45a88c11,[4022.704.19282],60
MP1 - Mat. prep - automatic sawing (ZGN_01),94,-,-,2026-06-09 13:03:44,2026-06-09 13:03:46,__export__.mrp_production_6163_61e3daa7,[00429-00-249-A],418
M4-01 - AW - 4axis - Conveyor Automation (FR4_01),95,-,-,2026-06-09 13:03:47,2026-06-09 13:03:55,__export__.mrp_production_6163_61e3daa7,[00429-00-249-A],418
BW - Benchwork (BKW_01),96,-,-,2026-06-09 13:03:53,2026-06-09 13:03:56,__export__.mrp_production_6163_61e3daa7,[00429-00-249-A],418
MP1 - Mat. prep - automatic sawing (ZGN_01),99,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6192_3443eb6e,[M0216-01-363-B],50
M3-02 - AW - 3axis - Manual (FR3_02),100,-,-,2026-04-17 13:07:31,2026-04-17 13:07:33,__export__.mrp_production_6192_3443eb6e,[M0216-01-363-B],50
MP1 - Mat. prep - automatic sawing (ZGN_01),105,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6194_00aea810,[1508130 B],115
M5-01 - AW - 5axis - Conveyor Automation (FR5_01),106,-,-,2026-04-15 13:49:48,2026-06-10 15:53:48,__export__.mrp_production_6194_00aea810,[1508130 B],115
MP1 - Mat. prep - automatic sawing (ZGN_01),110,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6199_a3feca82,[4598-008-08901B POS 1],92
M4-02 - AW - 4axis - Conveyor Automation (FR4_02),111,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6199_a3feca82,[4598-008-08901B POS 1],92
M3-01 - AW - 3axis - Manual (FR3_01),112,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6199_a3feca82,[4598-008-08901B POS 1],92
MP1 - Mat. prep - automatic sawing (ZGN_01),116,-,-,2026-06-10 15:57:20,2026-06-10 15:57:21,__export__.mrp_production_6204_58badac8,[4022-470-85441],20
MP1 - Mat. prep - automatic sawing (ZGN_01),121,-,-,2026-06-10 15:51:47,2026-06-10 15:51:48,__export__.mrp_production_6205_8e927596,[00385-00-274-D],616
MP1 - Mat. prep - automatic sawing (ZGN_01),126,-,-,2026-06-10 15:52:24,2026-06-10 15:52:26,__export__.mrp_production_6206_24cb6a6a,[00385-00-320-A],654
MP1 - Mat. prep - automatic sawing (ZGN_01),131,-,-,2026-06-10 15:52:29,2026-06-10 15:52:31,__export__.mrp_production_6207_1e14eead,[00385-00-321-A],714
MP1 - Mat. prep - automatic sawing (ZGN_01),137,-,-,2026-06-10 15:52:39,2026-06-10 15:52:40,__export__.mrp_production_6208_1095546a,[00385-00-346-A],714
OUT - Outsourced activity,141,-,-,2026-04-30 09:35:26,2026-05-21 12:31:31,__export__.mrp_production_6208_1095546a,[00385-00-346-A],714
MP1 - Mat. prep - automatic sawing (ZGN_01),143,-,-,2026-06-10 15:53:08,2026-06-10 15:53:10,__export__.mrp_production_6209_9f61b525,[00429-00-662-B],420
MP1 - Mat. prep - automatic sawing (ZGN_01),147,-,-,2026-06-10 15:53:52,2026-06-10 15:53:53,__export__.mrp_production_6210_afc3a4ad,[1508130 B],160
MP1 - Mat. prep - automatic sawing (ZGN_01),152,-,-,2026-06-10 15:59:03,2026-06-10 15:59:05,__export__.mrp_production_6226_16fa701d,[4022-651-14271],100
MP1 - Mat. prep - automatic sawing (ZGN_01),158,-,-,2026-06-10 15:59:14,2026-06-10 15:59:16,__export__.mrp_production_6233_88adf94a,[4022.647.81691],15
M5-01 - AW - 5axis - Conveyor Automation (FR5_01),159,-,-,2026-06-10 15:59:17,2026-06-10 15:59:18,__export__.mrp_production_6233_88adf94a,[4022.647.81691],15
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",160,-,-,2026-06-10 15:59:24,2026-06-10 15:59:25,__export__.mrp_production_6238_c3622eeb,[7005-2580-0014],7
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",163,-,-,2026-06-10 15:59:28,2026-06-10 15:59:30,__export__.mrp_production_6239_138faa60,[7005-2580-0010],4
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",166,-,-,2026-06-10 15:59:33,2026-06-10 15:59:35,__export__.mrp_production_6240_135bf573,[7005-2580-0015],7
MP1 - Mat. prep - automatic sawing (ZGN_01),169,-,-,2026-06-10 15:59:44,2026-06-10 15:59:45,__export__.mrp_production_6246_819c34e3,[00385-00-102-C],600
MP1 - Mat. prep - automatic sawing (ZGN_01),174,-,-,2026-05-05 13:09:10,2026-05-05 13:09:16,__export__.mrp_production_6255_84ac8129,[4022.622.61092],60
M5-03 - UMC1 - 5axis - Manual (UMC750),175,-,-,2026-06-09 13:05:14,2026-06-09 13:05:16,__export__.mrp_production_6255_84ac8129,[4022.622.61092],60
M3-03 - VF - 3axis - Manual (VF2SS),176,-,-,2026-06-09 13:05:18,2026-06-09 13:05:19,__export__.mrp_production_6255_84ac8129,[4022.622.61092],60
OUT - Outsourced activity,177,-,-,2026-06-05 15:25:58,2026-06-23 17:11:51,__export__.mrp_production_6255_84ac8129,[4022.622.61092],60
MP1 - Mat. prep - automatic sawing (ZGN_01),185,-,-,2026-06-10 16:00:54,2026-06-10 16:00:55,__export__.mrp_production_6258_551385d8,[4512-127-05186B],1000
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",189,-,-,2026-06-10 16:00:59,2026-06-10 16:01:01,__export__.mrp_production_6259_202f1f5f,[4022-333-19505],100
MP1 - Mat. prep - automatic sawing (ZGN_01),193,-,-,2026-06-10 16:02:49,2026-06-10 16:02:50,__export__.mrp_production_6262_e8dc0d39,[4022.684.32031],80
MP1 - Mat. prep - automatic sawing (ZGN_01),197,-,-,2026-06-10 16:02:57,2026-06-10 16:02:58,__export__.mrp_production_6276_848a2216,[7005-2580-0007],8
M5-02 - AW - 5axis - Pallet Automation (FR5_02),198,-,-,2026-06-10 16:03:00,2026-06-10 16:03:01,__export__.mrp_production_6276_848a2216,[7005-2580-0007],8
MP1 - Mat. prep - automatic sawing (ZGN_01),200,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6300_645dbbde,[4022-637-29301],17
M4-02 - AW - 4axis - Conveyor Automation (FR4_02),201,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6300_645dbbde,[4022-637-29301],17
M4-02 - AW - 4axis - Conveyor Automation (FR4_02),202,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6300_645dbbde,[4022-637-29301],17
M4-02 - AW - 4axis - Conveyor Automation (FR4_02),203,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6300_645dbbde,[4022-637-29301],17
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",210,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6311_b88cd472,[4022.704.19282],17
M5-06 - UMC400 - 5axis  - Manual (UMC400),211,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6311_b88cd472,[4022.704.19282],17
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",227,-,-,2026-06-10 16:22:58,2026-06-10 16:22:59,__export__.mrp_production_6398_e2f64dab,[4022.689.94981],8
MP1 - Mat. prep - automatic sawing (ZGN_01),256,-,-,2026-06-09 13:01:33,2026-06-09 13:01:35,__export__.mrp_production_6437_b0914173,[4022.620.02663],3
M3-01 - AW - 3axis - Manual (FR3_01),257,-,-,2026-06-09 13:01:37,2026-06-09 13:01:38,__export__.mrp_production_6437_b0914173,[4022.620.02663],3
M3-01 - AW - 3axis - Manual (FR3_01),258,-,-,2026-06-09 13:01:39,2026-06-09 13:01:40,__export__.mrp_production_6437_b0914173,[4022.620.02663],3
M3-01 - AW - 3axis - Manual (FR3_01),259,-,-,2026-06-09 13:01:41,2026-06-09 13:01:43,__export__.mrp_production_6437_b0914173,[4022.620.02663],3
OUT - Outsourced activity,260,-,-,2026-06-10 14:44:25,2026-06-17 15:01:19,__export__.mrp_production_6437_b0914173,[4022.620.02663],3
MP1 - Mat. prep - automatic sawing (ZGN_01),266,-,-,2026-06-10 15:13:51,2026-06-10 15:13:53,__export__.mrp_production_6439_83941002,[4022.684.32071],300
MP1 - Mat. prep - automatic sawing (ZGN_01),439,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_7069_c01d62c8,[4022.632.63021],1070
M3-01 - AW - 3axis - Manual (FR3_01),440,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_7069_c01d62c8,[4022.632.63021],1070
MP1 - Mat. prep - automatic sawing (ZGN_01),441,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_7069_c01d62c8,[4022.632.63021],1070
MP1 - Mat. prep - automatic sawing (ZGN_01),542,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_7098_92dba811,[4022-666-65702(R1)],524
M4-01 - AW - 4axis - Conveyor Automation (FR4_01),543,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_7098_92dba811,[4022-666-65702(R1)],524
