ShipmentBatch,ShipmentType,Priority,Weight,Destination
9,Bag,1,11,14
9,Bag,1,11,10
9,Bag,1,10,10
9,Bag,1,12,13
9,Box,1,25,4
9,Box,2,28,1
9,Bag,1,13,1
9,Bag,2,14,7
9,Box,2,34,14
9,Bag,1,13,8
9,Bag,2,14,13
9,Bag,1,14,1
9,Box,2,31,10
9,Box,1,34,11
9,Bag,1,11,4
9,Bag,1,13,8
9,Bag,2,14,1
9,Box,1,27,10
9,Box,2,31,12
9,Box,2,26,13
9,Box,1,32,4
10,Box,3,27,1
10,Bag,1,14,5
10,Bag,2,14,13
10,Bag,1,10,12
10,Box,1,26,14
10,Box,2,29,0
10,Bag,2,12,1
10,Bag,1,10,4
10,Bag,1,11,11
10,Box,1,37,11
10,Bag,2,11,1
10,Bag,1,11,10
10,Box,2,28,13
10,Bag,1,14,10
10,Bag,1,12,4
10,Bag,1,11,10
10,Box,1,35,10
10,Bag,2,11,1
10,Bag,2,14,5
10,Bag,1,10,12
10,Box,2,32,8
10,Bag,1,10,8
10,Bag,2,13,1
10,Bag,2,10,10
10,Box,1,25,11
10,Bag,1,12,5
10,Bag,1,13,1
10,Box,1,33,0
10,Box,3,29,4
11,Bag,2,11,4
11,Box,2,32,7
11,Bag,1,12,13
11,Box,2,31,10
11,Box,1,32,11
11,Bag,2,10,11
11,Box,1,29,1
11,Bag,1,13,2
11,Box,2,35,1
11,Bag,2,12,0
11,Bag,2,12,8
11,Bag,1,11,8
11,Box,1,39,4
11,Bag,2,11,8
11,Bag,1,13,10
11,Box,2,35,1
11,Bag,1,13,14
11,Box,1,37,7
11,Bag,1,14,12
11,Bag,1,14,13
11,Box,1,25,4
11,Box,2,26,1
11,Bag,3,13,1
11,Bag,1,11,8
11,Box,1,36,7
12,Bag,2,11,12
12,Bag,1,14,1
12,Box,1,27,11
12,Bag,1,11,8
12,Bag,2,12,14
12,Box,1,37,0
12,Bag,1,11,8
12,Box,1,29,10
12,Bag,2,12,11
12,Box,1,33,9
12,Bag,2,12,4
12,Bag,2,11,4
12,Bag,2,12,11
12,Bag,1,12,7
12,Box,3,29,12
12,Box,1,27,13
12,Box,2,37,12
12,Box,2,37,1
12,Bag,2,11,0
12,Bag,1,10,1
12,Box,1,31,1
12,Box,2,38,10
12,Bag,1,10,2
12,Bag,1,11,1
12,Bag,2,11,0
12,Bag,1,12,10
13,Bag,2,12,13
13,Bag,1,10,8
13,Box,1,30,1
13,Box,2,29,1
13,Bag,1,10,0
13,Box,1,38,7
13,Bag,1,13,11
13,Box,1,30,10
13,Bag,2,11,14
13,Bag,1,12,14
13,Bag,1,13,10
13,Bag,2,10,7
13,Bag,2,10,10
13,Box,1,26,11
13,Bag,1,10,13
13,Bag,1,10,2
13,Bag,2,12,14
13,Bag,1,14,0
13,Bag,1,12,5
13,Bag,1,12,4
13,Box,2,37,11
13,Bag,2,13,11
13,Box,1,25,14
13,Bag,1,13,5
13,Bag,3,13,10
13,Bag,1,10,1
13,Bag,2,14,4
13,Bag,2,14,10
13,Box,1,33,8
13,Bag,1,12,14
14,Box,2,27,8
14,Box,1,28,0
14,Bag,2,13,11
14,Bag,1,12,13
14,Bag,1,12,10
14,Box,1,26,10
14,Bag,3,14,10
14,Box,2,27,10
14,Bag,2,14,11
14,Bag,1,11,1
14,Bag,1,14,1
14,Box,1,38,4
14,Bag,1,13,8
14,Bag,1,10,8
14,Box,1,27,4
14,Box,2,25,11
14,Bag,1,12,10
14,Box,1,27,9
14,Bag,2,11,13
14,Box,1,31,1
14,Box,1,39,4
14,Box,1,30,11
14,Bag,2,14,0
14,Box,1,38,1
15,Bag,3,14,14
15,Bag,1,12,12
15,Box,1,35,13
15,Bag,1,10,5
15,Bag,2,10,0
15,Bag,1,12,11
15,Bag,2,13,7
15,Bag,1,10,0
15,Box,1,37,4
15,Bag,1,10,8
15,Box,2,25,0
15,Box,1,37,10
15,Bag,1,13,10
15,Bag,2,13,1
15,Box,1,33,8
15,Bag,2,11,14
15,Bag,1,12,10
15,Bag,2,10,10
15,Bag,1,13,11
15,Box,1,36,11
15,Box,1,31,10
15,Box,1,25,10
15,Bag,2,14,11
15,Box,1,37,14
15,Bag,2,13,4
15,Box,1,39,8
16,Bag,2,13,0
16,Bag,1,13,6
16,Box,1,38,1
16,Bag,2,13,6
16,Box,1,32,4
16,Bag,2,11,5
16,Bag,1,11,11
16,Bag,1,13,8
16,Bag,2,14,1
16,Bag,1,12,7
16,Box,2,36,1
16,Bag,2,11,12
16,Bag,1,10,4
16,Box,1,39,7
16,Bag,1,14,1
16,Bag,2,12,0
16,Bag,2,13,4
16,Box,2,30,11
16,Box,1,37,0
16,Bag,2,10,11
16,Bag,3,12,10
16,Bag,2,12,13
16,Box,2,30,5
16,Box,2,31,1
16,Box,1,37,13
17,Bag,2,12,1
17,Bag,1,13,10
17,Box,1,33,7
17,Bag,1,10,7
17,Bag,2,12,9
17,Bag,1,10,13
17,Box,2,29,10
17,Box,1,33,4
17,Bag,2,10,0
17,Box,1,37,4
17,Bag,1,13,10
17,Box,1,29,12
17,Bag,2,14,9
17,Box,2,34,7
17,Bag,2,12,11
17,Box,3,29,10
17,Bag,2,11,11
17,Bag,2,11,14
17,Box,3,27,4
17,Box,1,35,1
17,Bag,2,11,1
17,Bag,2,12,4
17,Box,1,34,2
17,Box,1,37,1
18,Bag,3,10,5
18,Box,2,39,13
18,Bag,1,10,11
18,Box,2,32,0
18,Bag,1,11,8
18,Bag,3,10,10
18,Bag,1,13,11
18,Bag,1,12,0
18,Bag,1,11,1
18,Bag,2,14,1
18,Bag,1,14,8
18,Bag,1,13,1
18,Bag,2,13,5
18,Box,2,35,4
18,Bag,2,10,8
18,Bag,1,10,8
18,Bag,2,10,12
18,Bag,1,12,4
18,Bag,1,13,8
18,Box,1,28,11
18,Bag,2,10,11
18,Box,2,27,0
18,Box,2,35,12
18,Bag,2,14,7
18,Bag,1,12,0
18,Box,1,26,13
18,Bag,1,10,13
18,Bag,1,10,13
18,Box,2,25,11
18,Box,1,35,7
19,Bag,3,10,13
19,Box,2,34,11
19,Box,2,36,12
19,Bag,3,11,12
19,Bag,1,14,9
19,Bag,3,12,0
19,Bag,1,13,10
19,Box,1,27,0
19,Box,1,29,4
19,Bag,2,13,0
19,Box,2,28,8
19,Bag,2,10,8
19,Bag,1,13,0
19,Box,1,34,0
19,Bag,1,14,1
19,Box,2,25,1
19,Bag,2,14,4
19,Bag,1,10,0
19,Bag,2,13,4
19,Bag,3,10,6
19,Bag,1,11,8
19,Bag,1,13,0
19,Bag,2,13,4
19,Box,1,39,14
19,Bag,1,11,9
19,Box,2,29,0
19,Box,1,28,10
