OperationName,ProcessID,ResourceID,Resource,Start,Completion,DemandID,Product,NrItems
M5-03 - UMC1 - 5axis - Manual (UMC750),20,-,-,2026-02-06 13:36:38,2026-02-06 13:36:38,__export__.mrp_production_5035_e3dce293,[4022.684.28962],1
MP1 - Mat. prep - automatic sawing (ZGN_01),23,-,-,2026-02-06 13:44:01,2026-02-06 13:44:01,__export__.mrp_production_5036_bec2ca68,[4022.684.28842],1
M5-03 - UMC1 - 5axis - Manual (UMC750),24,-,-,2026-02-06 13:44:10,2026-02-06 13:44:10,__export__.mrp_production_5036_bec2ca68,[4022.684.28842],1
M3-01 - AW - 3axis - Manual (FR3_01),25,-,-,2026-02-06 13:43:55,2026-02-06 13:43:55,__export__.mrp_production_5036_bec2ca68,[4022.684.28842],1
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",28,-,-,2026-02-06 13:43:33,2026-02-06 13:43:33,__export__.mrp_production_5037_60eed60d,[4022.656.37971],5
M5-03 - UMC1 - 5axis - Manual (UMC750),29,-,-,2026-02-06 13:43:37,2026-02-06 13:43:37,__export__.mrp_production_5037_60eed60d,[4022.656.37971],5
M5-03 - UMC1 - 5axis - Manual (UMC750),30,-,-,2026-02-06 13:43:40,2026-02-06 13:43:40,__export__.mrp_production_5037_60eed60d,[4022.656.37971],5
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",32,-,-,2026-02-06 14:35:52,2026-02-06 14:35:52,__export__.mrp_production_5264_e20e4380,[4022.704.19282],20
MP2 - Mat. prep - manual sawing (ZGN_02),35,-,-,2026-02-06 14:30:25,2026-02-06 14:30:25,__export__.mrp_production_5325_9ceb90b0,[4023-002-36551],25
M4-01 - AW - 4axis - Conveyor Automation (FR4_01),36,-,-,2026-02-06 14:30:36,2026-03-23 10:49:37,__export__.mrp_production_5325_9ceb90b0,[4023-002-36551],25
BW - Benchwork (BKW_01),37,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-06-30 08:13:00,2026-06-30 10:19:00,__export__.mrp_production_5325_9ceb90b0,[4023-002-36551],25
PACK - Packaging (VERP_P),38,__export__.mrp_workcenter_67_d1ac8ce6,PACK_(VERP_P),2026-06-30 10:29:00,2026-06-30 10:55:00,__export__.mrp_production_5325_9ceb90b0,[4023-002-36551],25
MP1 - Mat. prep - automatic sawing (ZGN_01),39,-,-,2026-02-06 14:41:00,2026-02-06 14:41:00,__export__.mrp_production_5374_81713afd,[4022-637-29301],40
M4-02 - AW - 4axis - Conveyor Automation (FR4_02),40,-,-,2026-03-23 11:11:00,2026-03-23 11:11:01,__export__.mrp_production_5374_81713afd,[4022-637-29301],40
M4-02 - AW - 4axis - Conveyor Automation (FR4_02),41,-,-,2026-03-23 11:11:02,2026-03-23 11:11:04,__export__.mrp_production_5374_81713afd,[4022-637-29301],40
M4-02 - AW - 4axis - Conveyor Automation (FR4_02),42,-,-,2026-03-23 11:11:17,2026-03-23 11:11:38,__export__.mrp_production_5374_81713afd,[4022-637-29301],40
BW - Benchwork (BKW_01),43,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-06-30 10:22:00,2026-06-30 12:23:00,__export__.mrp_production_5374_81713afd,[4022-637-29301],40
PACK - Packaging (VERP_P),44,__export__.mrp_workcenter_67_d1ac8ce6,PACK_(VERP_P),2026-06-30 12:32:00,2026-06-30 13:13:00,__export__.mrp_production_5374_81713afd,[4022-637-29301],40
MP1 - Mat. prep - automatic sawing (ZGN_01),45,-,-,2026-02-06 14:47:10,2026-02-06 14:47:10,__export__.mrp_production_5484_c81e293e,[4022.622.61092],29
M5-04 - UMCSS - 5axis  - Manual (UMC750SS),46,-,-,2026-02-04 16:05:49,2026-03-23 10:50:23,__export__.mrp_production_5484_c81e293e,[4022.622.61092],29
M5-06 - UMC400 - 5axis  - Manual (UMC400)_ISSUE!,47,Cancelled,Cancelled,2026-03-23 10:50:25,2026-03-23 10:50:26,__export__.mrp_production_5484_c81e293e,[4022.622.61092],29
OUT - Outsourced activity,48,-,-,2026-03-18 12:50:02,2026-03-18 12:50:02,__export__.mrp_production_5484_c81e293e,[4022.622.61092],29
OUT - Outsourced activity,49,-,-,2026-03-23 10:36:35,2026-04-17 13:09:28,__export__.mrp_production_5484_c81e293e,[4022.622.61092],29
MP1 - Mat. prep - automatic sawing (ZGN_01),54,-,-,2026-03-23 09:45:09,2026-03-23 09:45:49,__export__.mrp_production_5661_117b54ab,[4512-127-05186B],850
MP1 - Mat. prep - automatic sawing (ZGN_01),58,-,-,2026-03-23 09:48:19,2026-03-23 09:48:19,__export__.mrp_production_5666_83c93799,[7005-2400-0100],56
M5-03 - UMC1 - 5axis - Manual (UMC750),59,-,-,2026-04-15 11:51:26,2026-04-15 11:51:30,__export__.mrp_production_5666_83c93799,[7005-2400-0100],56
M5-03 - UMC1 - 5axis - Manual (UMC750),60,-,-,2026-04-15 11:51:34,2026-04-15 11:51:35,__export__.mrp_production_5666_83c93799,[7005-2400-0100],56
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",62,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_5680_ed5f1e28,[4022.622.61481],24
MP1 - Mat. prep - automatic sawing (ZGN_01),64,-,-,2026-03-23 09:50:13,2026-03-23 09:50:51,__export__.mrp_production_5770_bc7d7b8f,[7005-2580-0017],15
MP2 - Mat. prep - manual sawing (ZGN_02),67,-,-,2026-04-02 16:31:02,2026-04-02 16:31:02,__export__.mrp_production_5775_ce67fb3a,[7005-2580-0005],20
MP1 - Mat. prep - automatic sawing (ZGN_01),69,-,-,2026-03-23 09:45:11,2026-03-23 09:45:58,__export__.mrp_production_5778_3ba5ef49,[7005-2580-0007],12
MP1 - Mat. prep - automatic sawing (ZGN_01),72,-,-,2026-03-23 09:45:15,2026-03-23 09:46:22,__export__.mrp_production_5793_f5c01175,[4022.648.92451],2
MP1 - Mat. prep - automatic sawing (ZGN_01),74,-,-,2026-03-23 09:45:15,2026-03-23 09:46:20,__export__.mrp_production_5794_ae796e75,[4022.648.92461],2
MP1 - Mat. prep - automatic sawing (ZGN_01),76,-,-,2026-03-23 09:45:15,2026-03-23 09:46:19,__export__.mrp_production_5799_ae914a97,[4022.648.92481],2
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",78,-,-,2026-03-23 09:46:48,2026-03-23 09:46:59,__export__.mrp_production_5802_60e1ae22,[7005-2580-0014],6
MP2 - Mat. prep - manual sawing (ZGN_02),81,-,-,2026-04-02 16:31:05,2026-04-02 16:31:05,__export__.mrp_production_5812_86bac601,[BD50-5075-015F],27
M4-01 - AW - 4axis - Conveyor Automation (FR4_01),82,-,-,2026-04-21 12:09:07,2026-04-21 12:09:09,__export__.mrp_production_5812_86bac601,[BD50-5075-015F],27
BW - Benchwork (BKW_01),83,-,-,2026-04-21 12:09:10,2026-04-21 12:09:12,__export__.mrp_production_5812_86bac601,[BD50-5075-015F],27
PACK - Packaging (VERP_P),84,-,-,2026-04-21 12:09:13,2026-04-21 12:09:14,__export__.mrp_production_5812_86bac601,[BD50-5075-015F],27
MP2 - Mat. prep - manual sawing (ZGN_02),87,-,-,2026-04-21 12:07:05,2026-04-21 12:07:07,__export__.mrp_production_5813_a4a87adc,[BD50-5085-013-C],15
M3-01 - AW - 3axis - Manual (FR3_01),88,-,-,2026-04-21 12:07:09,2026-04-21 12:07:10,__export__.mrp_production_5813_a4a87adc,[BD50-5085-013-C],15
BW - Benchwork (BKW_01),89,-,-,2026-04-21 12:07:11,2026-04-21 12:07:12,__export__.mrp_production_5813_a4a87adc,[BD50-5085-013-C],15
PACK - Packaging (VERP_P),90,-,-,2026-04-21 12:07:13,2026-04-21 12:07:15,__export__.mrp_production_5813_a4a87adc,[BD50-5085-013-C],15
MP2 - Mat. prep - manual sawing (ZGN_02),93,-,-,2026-04-02 16:31:08,2026-04-21 12:04:34,__export__.mrp_production_5814_7c413313,[BD50-5085-011-C],32
M4-01 - AW - 4axis - Conveyor Automation (FR4_01),94,-,-,2026-04-21 12:04:36,2026-04-21 12:04:40,__export__.mrp_production_5814_7c413313,[BD50-5085-011-C],32
BW - Benchwork (BKW_01),95,-,-,2026-04-21 12:04:44,2026-04-21 12:04:45,__export__.mrp_production_5814_7c413313,[BD50-5085-011-C],32
PACK - Packaging (VERP_P),96,-,-,2026-04-21 12:04:46,2026-04-21 12:04:48,__export__.mrp_production_5814_7c413313,[BD50-5085-011-C],32
MP2 - Mat. prep - manual sawing (ZGN_02),99,-,-,2026-04-02 16:31:14,2026-04-02 16:31:14,__export__.mrp_production_5817_4d74da74,[BD50-5085-009-C],27
M4-01 - AW - 4axis - Conveyor Automation (FR4_01),100,-,-,2026-04-21 12:02:51,2026-04-21 12:02:52,__export__.mrp_production_5817_4d74da74,[BD50-5085-009-C],27
BW - Benchwork (BKW_01),101,-,-,2026-04-21 12:02:54,2026-04-21 12:02:55,__export__.mrp_production_5817_4d74da74,[BD50-5085-009-C],27
PACK - Packaging (VERP_P),102,-,-,2026-04-21 12:02:56,2026-04-21 12:02:58,__export__.mrp_production_5817_4d74da74,[BD50-5085-009-C],27
MP1 - Mat. prep - automatic sawing (ZGN_01),105,-,-,2026-03-23 09:45:11,2026-03-23 09:46:04,__export__.mrp_production_5822_d253f190,[4512-127-05186B],979
MP1 - Mat. prep - automatic sawing (ZGN_01),109,-,-,2026-03-23 09:45:12,2026-03-23 09:46:05,__export__.mrp_production_5850_e0fd2318,[00429-00-249-A],424
M4-01 - AW - 4axis - Conveyor Automation (FR4_01),110,-,-,2026-04-17 13:02:53,2026-04-17 13:02:53,__export__.mrp_production_5850_e0fd2318,[00429-00-249-A],424
BW - Benchwork (BKW_01),111,-,-,2026-04-21 09:13:23,2026-04-21 09:36:59,__export__.mrp_production_5850_e0fd2318,[00429-00-249-A],424
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",114,-,-,2026-03-23 09:52:13,2026-03-23 09:52:18,__export__.mrp_production_5851_eb3587d0,[B620261-5],2
MP1 - Mat. prep - automatic sawing (ZGN_01),120,-,-,2026-03-23 09:50:14,2026-03-23 09:51:02,__export__.mrp_production_5869_871b667c,[7005-2580-0007],8
MP1 - Mat. prep - automatic sawing (ZGN_01),123,-,-,2026-03-23 09:50:15,2026-03-23 09:51:06,__export__.mrp_production_5901_3f7c036f,[7005-2480-0070],20
MP1 - Mat. prep - automatic sawing (ZGN_01),127,-,-,2026-03-23 09:45:13,2026-03-23 09:46:14,__export__.mrp_production_5957_b64800cf,[7001-2580-0016],12
MP1 - Mat. prep - automatic sawing (ZGN_01),129,-,-,2026-04-02 15:24:27,2026-04-02 15:24:28,__export__.mrp_production_5958_ce25fead,[7001-2580-0017],12
MP1 - Mat. prep - automatic sawing (ZGN_01),131,-,-,2026-04-02 15:24:36,2026-04-02 15:24:37,__export__.mrp_production_5959_f032bf61,[7001-2580-0018],60
MP1 - Mat. prep - automatic sawing (ZGN_01),134,-,-,2026-04-02 15:24:41,2026-04-02 15:24:43,__export__.mrp_production_5960_b459580d,[7001-2580-0019],24
MP1 - Mat. prep - automatic sawing (ZGN_01),137,-,-,2026-04-02 15:24:45,2026-04-02 15:24:47,__export__.mrp_production_5961_94d699af,[7001-2580-0020],24
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",140,-,-,2026-03-23 09:46:48,2026-03-23 09:47:03,__export__.mrp_production_5962_6486115a,[7001-2580-0021],10
MP1 - Mat. prep - automatic sawing (ZGN_01),142,-,-,2026-04-02 15:25:00,2026-04-02 15:25:02,__export__.mrp_production_5963_1e2deec0,[7001-2580-0022],12
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",146,-,-,2026-03-23 09:52:40,2026-03-23 09:52:43,__export__.mrp_production_5964_c63bebb1,[7001-2580-0023],10
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",150,-,-,2026-03-23 09:52:40,2026-03-23 09:52:44,__export__.mrp_production_5965_cc4e8bda,[7001-2580-0024],10
MP1 - Mat. prep - automatic sawing (ZGN_01),153,-,-,2026-04-02 15:25:16,2026-04-02 15:25:20,__export__.mrp_production_5966_a6c52579,[7001-2580-0025],10
MP2 - Mat. prep - manual sawing (ZGN_02),154,-,-,2026-04-02 15:25:21,2026-04-02 15:25:23,__export__.mrp_production_5966_a6c52579,[7001-2580-0025],10
M5-04 - UMCSS - 5axis  - Manual (UMC750SS),155,-,-,2026-04-15 13:12:39,2026-04-15 13:12:41,__export__.mrp_production_5966_a6c52579,[7001-2580-0025],10
MP1 - Mat. prep - automatic sawing (ZGN_01),157,-,-,2026-04-02 15:25:31,2026-04-02 15:25:33,__export__.mrp_production_5967_b9280095,[7001-2580-0026],10
MP2 - Mat. prep - manual sawing (ZGN_02),158,-,-,2026-04-02 15:25:34,2026-04-02 15:25:35,__export__.mrp_production_5967_b9280095,[7001-2580-0026],10
M5-05 - UMC2 - 5axis  - Manual (UMC750),159,-,-,2026-04-15 13:17:00,2026-04-15 13:17:02,__export__.mrp_production_5967_b9280095,[7001-2580-0026],10
MP1 - Mat. prep - automatic sawing (ZGN_01),161,-,-,2026-04-02 15:25:41,2026-04-02 15:25:43,__export__.mrp_production_5968_5f06fe03,[7001-2580-0027],10
M5-04 - UMCSS - 5axis  - Manual (UMC750SS),162,-,-,2026-04-15 13:13:01,2026-04-15 13:13:03,__export__.mrp_production_5968_5f06fe03,[7001-2580-0027],10
MP1 - Mat. prep - automatic sawing (ZGN_01),164,-,-,2026-04-02 15:25:50,2026-04-02 15:25:51,__export__.mrp_production_5969_6dfec934,[7001-2580-0028],20
M5-03 - UMC1 - 5axis - Manual (UMC750),165,-,-,2026-04-15 13:13:19,2026-04-15 13:13:20,__export__.mrp_production_5969_6dfec934,[7001-2580-0028],20
MP1 - Mat. prep - automatic sawing (ZGN_01),167,-,-,2026-04-02 15:25:55,2026-04-02 15:25:56,__export__.mrp_production_5970_ae2421b9,[7001-2580-0029],20
M5-05 - UMC2 - 5axis  - Manual (UMC750),168,-,-,2026-04-15 13:13:38,2026-04-15 13:13:39,__export__.mrp_production_5970_ae2421b9,[7001-2580-0029],20
MP1 - Mat. prep - automatic sawing (ZGN_01),170,-,-,2026-04-02 15:26:00,2026-04-02 15:26:01,__export__.mrp_production_5971_d207f1af,[7001-2580-0030],20
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",173,-,-,2026-03-23 09:52:41,2026-03-23 09:52:46,__export__.mrp_production_5972_394722b8,[7001-2580-0031],10
MP1 - Mat. prep - automatic sawing (ZGN_01),176,-,-,2026-03-23 09:45:14,2026-03-23 09:46:15,__export__.mrp_production_5973_16542a9e,[7001-2580-0032],10
MP2 - Mat. prep - manual sawing (ZGN_02),177,-,-,2026-04-02 15:26:11,2026-04-02 15:26:13,__export__.mrp_production_5973_16542a9e,[7001-2580-0032],10
M5-05 - UMC2 - 5axis  - Manual (UMC750),178,-,-,2026-04-15 13:16:48,2026-04-15 13:16:49,__export__.mrp_production_5973_16542a9e,[7001-2580-0032],10
MP1 - Mat. prep - automatic sawing (ZGN_01),180,-,-,2026-04-02 15:26:16,2026-04-02 15:26:18,__export__.mrp_production_5974_6991d0d9,[7001-2580-0033],10
MP1 - Mat. prep - automatic sawing (ZGN_01),184,-,-,2026-04-02 15:26:22,2026-04-02 15:26:23,__export__.mrp_production_5975_f18ff1af,[7001-2580-0034],10
MP1 - Mat. prep - automatic sawing (ZGN_01),187,-,-,2026-04-02 15:26:28,2026-04-02 15:26:30,__export__.mrp_production_5976_40901ffc,[7001-2580-0035],10
M5-04 - UMCSS - 5axis  - Manual (UMC750SS),188,-,-,2026-04-17 11:56:49,2026-04-17 11:56:51,__export__.mrp_production_5976_40901ffc,[7001-2580-0035],10
MP1 - Mat. prep - automatic sawing (ZGN_01),190,-,-,2026-04-02 15:26:35,2026-04-02 15:26:36,__export__.mrp_production_5977_2e3e07da,[7001-2580-0036],10
M5-05 - UMC2 - 5axis  - Manual (UMC750),191,-,-,2026-04-17 11:57:07,2026-04-17 11:57:09,__export__.mrp_production_5977_2e3e07da,[7001-2580-0036],10
MP1 - Mat. prep - automatic sawing (ZGN_01),193,-,-,2026-04-02 15:26:40,2026-04-02 15:26:41,__export__.mrp_production_5978_fa57ba3b,[7001-2580-0037],12
MP1 - Mat. prep - automatic sawing (ZGN_01),196,-,-,2026-04-02 15:26:45,2026-04-02 15:26:46,__export__.mrp_production_5979_70dde6de,[7001-2580-0038],10
MP1 - Mat. prep - automatic sawing (ZGN_01),199,-,-,2026-03-23 09:45:14,2026-03-23 09:46:16,__export__.mrp_production_5980_7c410dbf,[7001-2580-0039],30
M3-03 - VF - 3axis - Manual (VF2SS),200,-,-,2026-03-27 14:41:14,2026-03-27 14:41:16,__export__.mrp_production_5980_7c410dbf,[7001-2580-0039],30
MP1 - Mat. prep - automatic sawing (ZGN_01),201,-,-,2026-04-02 15:28:17,2026-04-02 15:28:18,__export__.mrp_production_5983_dcf32b91,[7001-2540-0009],10
MP1 - Mat. prep - automatic sawing (ZGN_01),207,-,-,2026-03-23 09:45:16,2026-03-23 09:46:23,__export__.mrp_production_6016_1de5774c,[4022.704.19302],75
M5-06 - UMC400 - 5axis  - Manual (UMC400)_ISSUE!,208,Cancelled,Cancelled,2026-04-15 11:07:19,2026-04-17 13:09:01,__export__.mrp_production_6016_1de5774c,[4022.704.19302],75
M5-06 - UMC400 - 5axis  - Manual (UMC400)_ISSUE!,209,Cancelled,Cancelled,2026-04-17 13:09:09,2026-04-17 13:09:09,__export__.mrp_production_6016_1de5774c,[4022.704.19302],75
MP1 - Mat. prep - automatic sawing (ZGN_01),212,-,-,2026-03-23 09:45:16,2026-03-23 09:46:24,__export__.mrp_production_6017_db3c6cdd,[4022.704.19332],75
M3-02 - AW - 3axis - Manual (FR3_02),216,-,-,2026-03-23 10:50:40,2026-03-23 10:50:42,__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1],80
MP1 - Mat. prep - automatic sawing (ZGN_01),217,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1],80
M4-02 - AW - 4axis - Conveyor Automation (FR4_02),218,Cancelled,Cancelled,2000-01-01 00:00:00,2000-01-01 00:00:00,__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1],80
MP1 - Mat. prep - automatic sawing (ZGN_01),222,-,-,2026-03-23 09:45:16,2026-03-23 09:46:25,__export__.mrp_production_6021_b002acfc,[4022.684.32031],38
MP1 - Mat. prep - automatic sawing (ZGN_01),226,-,-,2026-04-02 15:30:55,2026-04-02 15:30:56,__export__.mrp_production_6045_ace1c669,[7005-2580-0017],15
MP2 - Mat. prep - manual sawing (ZGN_02),229,-,-,2026-04-02 15:31:04,2026-04-02 15:31:05,__export__.mrp_production_6050_c6e1bf21,[7005-2580-0005],20
MP1 - Mat. prep - automatic sawing (ZGN_01),231,-,-,2026-04-10 11:44:54,2026-04-10 11:44:54,__export__.mrp_production_6052_27860231,[4022-656-73531],90
MP1 - Mat. prep - automatic sawing (ZGN_01),235,-,-,2026-04-02 15:21:03,2026-04-02 15:21:03,__export__.mrp_production_6053_82316f6e,[4022-673-67281],21
M3-01 - AW - 3axis - Manual (FR3_01),236,-,-,2026-04-17 13:08:07,2026-04-17 13:08:07,__export__.mrp_production_6053_82316f6e,[4022-673-67281],21
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",245,-,-,2026-03-27 13:03:54,2026-03-27 13:03:54,__export__.mrp_production_6056_6257d170,[4022.704.19282],20
M5-06 - UMC400 - 5axis  - Manual (UMC400)_ISSUE!,246,Cancelled,Cancelled,2026-03-27 14:48:18,2026-03-27 14:48:18,__export__.mrp_production_6056_6257d170,[4022.704.19282],20
MP1 - Mat. prep - automatic sawing (ZGN_01),250,-,-,2026-04-17 13:01:51,2026-04-17 13:01:51,__export__.mrp_production_6060_f6e02d38,[50224615],3
MP1 - Mat. prep - automatic sawing (ZGN_01),254,-,-,2026-04-17 13:01:48,2026-04-17 13:01:48,__export__.mrp_production_6061_7d09e5b9,[50224506],3
MP1 - Mat. prep - automatic sawing (ZGN_01),257,-,-,2026-04-17 13:01:44,2026-04-17 13:01:44,__export__.mrp_production_6062_975aaffb,[50224700],3
MP1 - Mat. prep - automatic sawing (ZGN_01),260,-,-,2026-04-17 13:01:40,2026-04-17 13:01:40,__export__.mrp_production_6063_f2136fb6,[50224606],6
MP1 - Mat. prep - automatic sawing (ZGN_01),263,-,-,2026-04-17 13:01:37,2026-04-17 13:01:37,__export__.mrp_production_6064_bcabe145,[50224501],3
MP1 - Mat. prep - automatic sawing (ZGN_01),266,-,-,2026-04-17 13:01:34,2026-04-17 13:01:34,__export__.mrp_production_6065_50f85472,[50224605],3
MP1 - Mat. prep - automatic sawing (ZGN_01),269,-,-,2026-04-17 13:01:31,2026-04-17 13:01:31,__export__.mrp_production_6066_cbedb4a4,[50224602],6
MP1 - Mat. prep - automatic sawing (ZGN_01),272,-,-,2026-04-02 15:32:22,2026-04-02 15:32:24,__export__.mrp_production_6090_9a0dc3dd,[7305419],5
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",275,-,-,2026-04-02 15:32:31,2026-04-02 15:32:47,__export__.mrp_production_6091_0e1b5165,[7306642],12
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",277,-,-,2026-04-02 15:33:00,2026-04-02 15:33:03,__export__.mrp_production_6094_9d777ea1,[08200614],5
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",279,-,-,2026-04-02 15:33:09,2026-04-02 15:33:10,__export__.mrp_production_6095_bea3cc35,[7320299],5
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",281,-,-,2026-04-02 15:33:13,2026-04-02 15:33:14,__export__.mrp_production_6096_707cd3b1,[7321951],5
MP1 - Mat. prep - automatic sawing (ZGN_01),283,-,-,2026-04-02 15:33:19,2026-04-02 15:33:21,__export__.mrp_production_6097_28a7fa95,[7322837],5
MP1 - Mat. prep - automatic sawing (ZGN_01),286,-,-,2026-04-02 15:33:24,2026-04-02 15:33:25,__export__.mrp_production_6098_6ee49b63,[7323523],8
MP1 - Mat. prep - automatic sawing (ZGN_01),289,-,-,2026-04-02 15:33:30,2026-04-02 15:33:32,__export__.mrp_production_6099_ae15df1b,[7324140],8
MP1 - Mat. prep - automatic sawing (ZGN_01),292,-,-,2026-04-02 15:33:36,2026-04-02 15:33:37,__export__.mrp_production_6100_74eae82a,[7325878],5
MP1 - Mat. prep - automatic sawing (ZGN_01),295,-,-,2026-04-10 11:44:58,2026-04-10 11:44:58,__export__.mrp_production_6101_1eab1499,[7326975],5
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",298,-,-,2026-04-17 13:02:12,2026-04-17 13:02:12,__export__.mrp_production_6102_e06b2dd9,[22203901],5
MP1 - Mat. prep - automatic sawing (ZGN_01),301,-,-,2026-04-02 15:34:38,2026-04-02 15:34:39,__export__.mrp_production_6103_885b696d,[7317649],5
MP1 - Mat. prep - automatic sawing (ZGN_01),304,-,-,2026-04-02 15:34:45,2026-04-02 15:34:47,__export__.mrp_production_6104_24e5226c,[7318302],5
MP1 - Mat. prep - automatic sawing (ZGN_01),307,-,-,2026-04-02 15:34:51,2026-04-02 15:34:53,__export__.mrp_production_6105_9171430e,[7319962],5
MP1 - Mat. prep - automatic sawing (ZGN_01),310,-,-,2026-04-02 15:35:06,2026-04-02 15:35:07,__export__.mrp_production_6106_10e912ef,[22212103],5
MP1 - Mat. prep - automatic sawing (ZGN_01),312,-,-,2026-04-02 15:35:11,2026-04-02 15:35:12,__export__.mrp_production_6107_46ff3b0e,[22212107],5
MP1 - Mat. prep - automatic sawing (ZGN_01),314,-,-,2026-04-02 15:35:16,2026-04-02 15:35:18,__export__.mrp_production_6108_0f4fe190,[22212106],5
MP1 - Mat. prep - automatic sawing (ZGN_01),316,-,-,2026-04-10 11:44:47,2026-04-10 11:44:47,__export__.mrp_production_6109_43a165d0,[22212117],5
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",318,-,-,2026-04-02 15:35:32,2026-04-02 15:35:33,__export__.mrp_production_6110_771ee578,[26222404],5
MP1 - Mat. prep - automatic sawing (ZGN_01),320,-,-,2026-04-10 11:45:01,2026-04-10 11:45:01,__export__.mrp_production_6111_81ca87ad,[GO3220T101B],20
M3-01 - AW - 3axis - Manual (FR3_01),325,-,-,2026-04-17 13:03:11,2026-04-17 13:03:11,__export__.mrp_production_6112_05186945,[4022 690 33861],13
M3-01 - AW - 3axis - Manual (FR3_01),326,-,-,2026-04-17 13:03:14,2026-04-17 13:03:14,__export__.mrp_production_6112_05186945,[4022 690 33861],13
MP1 - Mat. prep - automatic sawing (ZGN_01),327,-,-,2026-04-10 11:45:04,2026-04-10 11:45:04,__export__.mrp_production_6113_8c0e7b6a,[4022-631-99701],124
MP1 - Mat. prep - automatic sawing (ZGN_01),332,-,-,2026-04-02 15:36:03,2026-04-02 15:36:04,__export__.mrp_production_6117_609a3f83,[7353584],5
MP1 - Mat. prep - automatic sawing (ZGN_01),334,-,-,2026-04-02 15:36:24,2026-04-02 15:36:26,__export__.mrp_production_6119_075768cd,[4022.622.61092],60
MP1 - Mat. prep - automatic sawing (ZGN_01),341,-,-,2026-04-02 15:36:35,2026-04-02 15:36:36,__export__.mrp_production_6121_b99b66ea,[100159725],4
